class,pcs,interval
4-17,"[0,1,6,7]","[2,0,0,0,2,2]"
4-18,"[0,2,3,5]","[1,2,2,0,1,0]"
4-19,"[0,2,3,6]","[1,1,2,1,0,1]"
4-20,"[0,2,3,7]","[1,1,1,1,2,0]"
4-21,"[0,2,4,6]","[0,3,0,2,0,1]"
4-22,"[0,2,4,7]","[0,2,1,1,2,0]"
4-23,"[0,2,4,8]","[0,2,0,3,0,1]"
4-24,"[0,2,5,7]","[0,2,1,0,3,0]"
4-25,"[0,2,5,8]","[0,1,2,1,1,1]"
4-26Z,"[0,2,6,8]","[0,2,0,2,0,2]"
4-27,"[0,3,4,7]","[1,0,2,2,1,0]"
4-28,"[0,3,5,8]","[0,1,2,1,2,0]"
4-29,"[0,3,6,9]","[0,0,4,0,0,2]"
4-30Z,"[0,4,6,10]","[0,2,0,2,0,2]"
5-1,"[0,1,2,3,4]","[4,3,2,1,0,0]"
5-2,"[0,1,2,3,5]","[3,3,2,1,1,0]"
5-3,"[0,1,2,3,6]","[3,2,2,1,1,1]"
5-4,"[0,1,2,3,7]","[3,2,1,1,2,1]"
5-5,"[0,1,2,4,5]","[3,2,2,2,1,0]"
5-6,"[0,1,2,4,6]","[2,3,1,2,1,1]"
5-7Z,"[0,1,2,4,7]","[2,2,2,1,2,1]"
5-8,"[0,1,2,4,8]","[2,2,1,3,1,1]"
5-9,"[0,1,2,5,6]","[3,1,1,2,2,1]"
5-10,"[0,1,2,5,7]","[2,2,1,1,3,1]"
5-11Z,"[0,1,2,5,8]","[2,1,2,2,2,1]"
5-12,"[0,1,2,6,7]","[3,1,0,1,3,2]"
5-13,"[0,1,2,6,8]","[2,2,0,2,2,2]"
5-14,"[0,1,3,4,6]","[2,2,3,1,1,1]"
5-15,"[0,1,3,4,7]","[2,1,3,2,1,1]"
5-16Z,"[0,1,3,4,8]","[2,1,2,3,2,0]"
5-17Z,"[0,1,3,5,6]","[2,2,2,1,2,1]"
5-18,"[0,1,3,5,7]","[1,3,1,2,2,1]"
5-19,"[0,1,3,5,8]","[1,2,2,2,3,0]"
5-20,"[0,1,3,6,7]","[2,1,2,1,2,2]"
5-21,"[0,1,3,6,8]","[1,2,2,1,3,1]"
5-22,"[0,1,3,6,9]","[1,1,4,1,1,2]"
5-23Z,"[0,1,4,5,7]","[2,1,2,2,2,1]"
5-24,"[0,1,4,5,8]","[2,0,2,4,2,0]"
5-25,"[0,1,4,6,8]","[1,2,1,3,2,1]"
5-26,"[0,1,4,6,9]","[1,1,3,2,2,1]"
5-27,"[0,1,4,7,8]","[2,0,2,3,2,1]"
5-28Z,"[0,1,5,6,8]","[2,1,1,2,3,1]"
5-29,"[0,2,3,4,6]","[2,3,2,2,0,1]"
5-30,"[0,2,3,4,7]","[2,2,2,2,2,0]"
5-31,"[0,2,3,5,7]","[1,3,2,1,3,0]"
5-32,"[0,2,3,5,8]","[1,2,3,1,2,1]"
5-33,"[0,2,3,6,8]","[1,2,2,2,1,2]"
5-34Z,"[0,2,3,7,8]","[2,1,1,2,3,1]"
5-35,"[0,2,4,5,8]","[1,2,2,3,1,1]"
5-36,"[0,2,4,6,8]","[0,4,0,4,0,2]"
5-37,"[0,2,4,6,9]","[0,3,2,2,2,1]"
5-38,"[0,2,4,7,9]","[0,3,2,1,4,0]"
5-39Z,"[0,3,4,5,8]","[2,1,2,3,2,0]"
6-1,"[0,1,2,3,4,5]","[5,4,3,2,1,0]"
6-2,"[0,1,2,3,4,6]","[4,4,3,2,1,1]"
6-3Z,"[0,1,2,3,4,7]","[4,3,3,2,2,1]"
6-4Z,"[0,1,2,3,4,8]","[4,3,2,3,2,1]"
6-5Z,"[0,1,2,3,5,6]","[4,3,3,2,2,1]"
6-6,"[0,1,2,3,5,7]","[3,4,2,2,3,1]"
6-7Z,"[0,1,2,3,5,8]","[3,3,3,2,3,1]"
6-8,"[0,1,2,3,6,7]","[4,2,2,2,3,2]"
6-9Z,"[0,1,2,3,6,8]","[3,3,2,2,3,2]"
6-10Z,"[0,1,2,3,6,9]","[3,2,4,2,2,2]"
6-11Z,"[0,1,2,3,7,8]","[4,2,1,2,4,2]"
6-12Z,"[0,1,2,4,5,6]","[4,3,2,3,2,1]"
6-13Z,"[0,1,2,4,5,7]","[3,3,3,2,3,1]"
6-14,"[0,1,2,4,5,8]","[3,2,3,4,2,1]"
6-15Z,"[0,1,2,4,6,7]","[3,3,2,2,3,2]"
6-16,"[0,1,2,4,6,8]","[2,4,1,4,2,2]"
6-17Z,"[0,1,2,4,6,9]","[2,3,3,3,3,1]"
6-18Z,"[0,1,2,4,7,8]","[3,2,2,3,3,2]"
6-19Z,"[0,1,2,4,7,9]","[2,3,3,2,4,1]"
6-20Z,"[0,1,2,5,6,7]","[4,2,1,2,4,2]"
6-21Z,"[0,1,2,5,6,8]","[3,2,2,3,3,2]"
6-22Z,"[0,1,2,5,6,9]","[3,1,3,4,3,1]"
6-23,"[0,1,2,5,7,8]","[3,2,2,2,4,2]"
6-24Z,"[0,1,2,5,7,9]","[2,3,2,3,4,1]"
6-25Z,"[0,1,2,6,7,8]","[4,2,0,2,4,3]"
6-26Z,"[0,1,3,4,5,7]","[3,3,3,3,2,1]"
6-27,"[0,1,3,4,5,8]","[3,2,3,4,3,0]"
6-28Z,"[0,1,3,4,6,7]","[3,2,4,2,2,2]"
6-29Z,"[0,1,3,4,6,8]","[2,3,3,3,3,1]"
6-30,"[0,1,3,4,6,9]","[2,2,5,2,2,2]"
6-31Z,"[0,1,3,4,7,8]","[3,1,3,4,3,1]"
6-32Z,"[0,1,3,4,7,9]","[2,2,4,3,2,2]"
6-33Z,"[0,1,3,5,6,8]","[2,3,3,2,4,1]"
6-34Z,"[0,1,3,5,6,9]","[2,2,4,3,2,2]"
6-35Z,"[0,1,3,5,7,8]","[2,3,2,3,4,1]"
6-36,"[0,1,3,5,7,9]","[1,4,2,4,2,2]"
6-37Z,"[0,1,3,6,7,9]","[2,2,4,2,2,3]"
6-38Z,"[0,1,4,5,6,8]","[3,2,2,4,3,1]"
6-39,"[0,1,4,5,7,9]","[2,2,3,4,3,1]"
6-40,"[0,1,4,5,8,9]","[3,0,3,6,3,0]"
6-41Z,"[0,1,4,6,7,9]","[2,2,4,2,3,2]"
6-42Z,"[0,1,4,6,7,10]","[2,2,4,2,2,3]"
6-43Z,"[0,1,5,6,7,11]","[4,2,0,2,4,3]"
6-44,"[0,2,3,4,5,7]","[3,4,3,2,3,0]"
6-45Z,"[0,2,3,4,5,8]","[3,3,3,3,2,1]"
6-46,"[0,2,3,4,6,8]","[2,4,2,4,1,2]"
6-47Z,"[0,2,3,4,6,9]","[2,3,4,2,2,2]"
6-48Z,"[0,2,3,4,7,8]","[3,2,2,4,3,1]"
6-49Z,"[0,2,3,5,6,8]","[2,3,4,2,2,2]"
6-50,"[0,2,3,5,7,9]","[1,4,3,2,4,1]"
6-51Z,"[0,2,3,6,7,9]","[2,2,4,2,3,2]"
6-52Z,"[0,2,3,6,8,9]","[2,2,4,2,2,3]"
6-53,"[0,2,4,5,7,9]","[1,4,3,2,5,0]"
6-54,"[0,2,4,6,8,10]","[0,6,0,6,0,3]"
7-1,"[0,1,2,3,4,5,6]","[6,5,4,3,2,1]"
7-2,"[0,1,2,3,4,5,7]","[5,5,4,3,3,1]"
7-3,"[0,1,2,3,4,5,8]","[5,4,4,4,3,1]"
7-4,"[0,1,2,3,4,6,7]","[5,4,4,3,3,2]"
7-5,"[0,1,2,3,4,6,8]","[4,5,3,4,3,2]"
7-6,"[0,1,2,3,4,6,9]","[4,4,5,3,3,2]"
7-7,"[0,1,2,3,4,7,8]","[5,3,3,4,4,2]"
7-8Z,"[0,1,2,3,4,7,9]","[4,4,4,3,4,2]"
7-9,"[0,1,2,3,5,6,7]","[5,4,3,3,4,2]"
7-10Z,"[0,1,2,3,5,6,8]","[4,4,4,3,4,2]"
7-11,"[0,1,2,3,5,6,9]","[4,3,5,4,3,2]"
7-12,"[0,1,2,3,5,7,8]","[4,4,3,3,5,2]"
7-13,"[0,1,2,3,5,7,9]","[3,5,3,4,4,2]"
7-14,"[0,1,2,3,6,7,8]","[5,3,2,3,5,3]"
7-15,"[0,1,2,3,6,7,9]","[4,3,4,3,4,3]"
7-16,"[0,1,2,4,5,6,8]","[4,4,3,5,3,2]"
7-17Z,"[0,1,2,4,5,6,9]","[4,3,4,5,4,1]"
7-18Z,"[0,1,2,4,5,7,8]","[4,3,4,4,4,2]"
7-19,"[0,1,2,4,5,7,9]","[3,4,4,4,5,1]"
7-20,"[0,1,2,4,5,8,9]","[4,2,4,6,4,1]"
7-21,"[0,1,2,4,6,7,8]","[4,4,2,4,4,3]"
7-22,"[0,1,2,4,6,7,9]","[3,4,4,3,5,2]"
7-23,"[0,1,2,4,6,8,9]","[3,4,3,5,4,2]"
7-24,"[0,1,2,4,6,8,10]","[2,6,2,6,2,3]"
7-25,"[0,1,2,5,6,7,9]","[4,3,3,4,5,2]"
7-26,"[0,1,2,5,6,8,9]","[4,2,4,5,4,2]"
7-27,"[0,1,3,4,5,6,8]","[4,4,4,4,4,1]"
7-28Z,"[0,1,3,4,5,7,8]","[4,3,4,5,4,1]"
7-29,"[0,1,3,4,5,7,9]","[3,4,4,5,3,2]"
7-30,"[0,1,3,4,6,7,9]","[3,3,6,3,3,3]"
7-31,"[0,1,3,4,6,8,9]","[3,3,5,4,4,2]"
7-32,"[0,1,3,4,6,8,10]","[2,5,4,4,4,2]"
7-33,"[0,1,3,5,6,7,9]","[3,4,4,4,3,3]"
7-34,"[0,1,3,5,6,8,10]","[2,5,4,3,6,1]"
7-35,"[0,2,3,4,5,6,8]","[4,5,4,4,2,2]"
7-36,"[0,2,3,4,5,7,9]","[3,5,4,3,5,1]"
7-37Z,"[0,2,3,4,5,8,9]","[4,3,4,4,4,2]"
7-38,"[0,2,3,4,6,7,9]","[3,4,5,3,4,2]"
8-1,"[0,1,2,3,4,5,6,7]","[7,6,5,4,4,2]"
8-2,"[0,1,2,3,4,5,6,8]","[6,6,5,5,4,2]"
8-3,"[0,1,2,3,4,5,6,9]","[6,5,6,5,4,2]"
8-4,"[0,1,2,3,4,5,7,8]","[6,5,5,5,5,2]"
8-5,"[0,1,2,3,4,5,7,9]","[5,6,5,5,5,2]"
8-6,"[0,1,2,3,4,5,8,9]","[6,4,5,6,5,2]"
8-7,"[0,1,2,3,4,6,7,8]","[6,5,4,5,5,3]"
8-8,"[0,1,2,3,4,6,7,9]","[5,5,6,4,5,3]"
8-9Z,"[0,1,2,3,4,6,8,9]","[5,5,5,5,5,3]"
8-10,"[0,1,2,3,4,6,8,10]","[4,7,4,6,4,3]"
8-11,"[0,1,2,3,4,7,8,9]","[6,4,4,5,6,3]"
8-12,"[0,1,2,3,5,6,7,8]","[6,5,4,4,6,3]"
8-13Z,"[0,1,2,3,5,6,7,9]","[5,5,5,5,5,3]"
8-14,"[0,1,2,3,5,6,8,9]","[5,4,6,5,5,3]"
8-15,"[0,1,2,3,5,6,8,10]","[4,6,5,5,6,2]"
8-16,"[0,1,2,3,5,7,8,9]","[5,5,4,5,6,3]"
8-17,"[0,1,2,3,5,7,8,10]","[4,6,5,4,7,2]"
8-18Z,"[0,1,2,3,6,7,8,9]","[6,4,4,4,6,4]"
8-19,"[0,1,2,4,5,6,7,9]","[5,5,5,5,6,2]"
8-20,"[0,1,2,4,5,6,8,9]","[5,4,5,7,5,2]"
8-21,"[0,1,2,4,5,6,8,10]","[4,6,4,7,4,3]"
8-22,"[0,1,2,4,5,7,8,9]","[5,4,5,6,6,2]"
8-23,"[0,1,2,4,5,7,8,10]","[4,5,6,5,5,3]"
8-24Z,"[0,1,2,4,6,7,8,10]","[4,6,4,6,4,4]"
8-25Z,"[0,1,2,5,6,7,8,11]","[6,4,4,4,6,4]"
8-26,"[0,1,3,4,5,6,7,9]","[5,5,6,5,4,3]"
8-27,"[0,1,3,4,5,6,8,9]","[5,4,6,6,5,2]"
8-28,"[0,1,3,4,5,7,8,10]","[4,5,6,5,6,2]"
8-29,"[0,1,3,4,6,7,9,10]","[4,4,8,4,4,4]"
8-30Z,"[0,1,3,5,6,7,9,11]","[4,6,4,6,4,4]"
8-31,"[0,2,3,4,5,6,7,9]","[5,6,6,4,5,2]"
8-32Z,"[0,2,3,4,6,8,9,10]","[4,6,4,6,4,4]"
9-1,"[0,1,2,3,4,5,6,7,8]","[8,7,6,6,6,3]"
9-2,"[0,1,2,3,4,5,6,7,9]","[7,7,7,6,6,3]"
9-3,"[0,1,2,3,4,5,6,8,9]","[7,6,7,7,6,3]"
9-4,"[0,1,2,3,4,5,6,8,10]","[6,8,6,7,6,3]"
9-5,"[0,1,2,3,4,5,7,8,9]","[7,6,6,7,7,3]"
9-6,"[0,1,2,3,4,5,7,8,10]","[6,7,7,6,7,3]"
9-7,"[0,1,2,3,4,6,7,8,9]","[7,6,6,6,7,4]"
9-8,"[0,1,2,3,4,6,7,8,10]","[6,7,6,7,6,4]"
9-9,"[0,1,2,3,4,6,7,9,10]","[6,6,8,6,6,4]"
9-10,"[0,1,2,3,5,6,7,8,10]","[6,7,6,6,8,3]"
9-11,"[0,1,2,3,5,6,7,9,10]","[6,6,7,7,7,3]"
9-12Z,"[0,1,2,4,5,6,8,9,10]","[6,6,6,9,6,3]"
9-13Z,"[0,1,3,4,5,7,8,9,11]","[6,6,6,9,6,3]"
10-1,"[0,1,2,3,4,5,6,7,8,9]","[9,8,8,8,8,4]"
10-2,"[0,1,2,3,4,5,6,7,8,10]","[8,9,8,8,8,4]"
10-3,"[0,1,2,3,4,5,6,7,9,10]","[8,8,9,8,8,4]"
10-4,"[0,1,2,3,4,5,6,8,9,10]","[8,8,8,9,8,4]"
10-5,"[0,1,2,3,4,5,7,8,9,10]","[8,8,8,8,9,4]"
10-6Z,"[0,1,2,3,4,6,7,8,9,10]","[8,8,8,8,8,5]"
10-7Z,"[0,1,2,3,5,6,7,8,9,11]","[8,8,8,8,8,5]"
10-8Z,"[0,1,2,4,5,6,7,8,10,11]","[8,8,8,8,8,5]"
11-1,"[0,1,2,3,4,5,6,7,8,9,10]","[10,10,10,10,10,5]"
12-1,"[0,1,2,3,4,5,6,7,8,9,10,11]","[12,12,12,12,12,6]"
