class,pcs,interval
2-1,"[0,1]","[1,0,0,0,0,0]"
2-2Z,"[0,2]","[0,1,0,0,0,0]"
2-3Z,"[0,3]","[0,0,1,0,0,0]"
2-4Z,"[0,4]","[0,0,0,1,0,0]"
2-5Z,"[0,5]","[0,0,0,0,1,0]"
2-6,"[0,6]","[0,0,0,0,0,1]"
2-7Z,"[0,7]","[0,0,0,0,1,0]"
2-8Z,"[0,8]","[0,0,0,1,0,0]"
2-9Z,"[0,9]","[0,0,1,0,0,0]"
2-10Z,"[0,10]","[0,1,0,0,0,0]"
3-1,"[0,1,2]","[2,1,0,0,0,0]"
3-2,"[0,1,3]","[1,1,1,0,0,0]"
3-3,"[0,1,4]","[1,0,1,1,0,0]"
3-4,"[0,1,5]","[1,0,0,1,1,0]"
3-5,"[0,1,6]","[1,0,0,0,1,1]"
3-6,"[0,2,4]","[0,2,0,1,0,0]"
3-7,"[0,2,5]","[0,1,1,0,1,0]"
3-8,"[0,2,6]","[0,1,0,1,0,1]"
3-9,"[0,2,7]","[0,1,0,0,2,0]"
3-10,"[0,3,6]","[0,0,2,0,0,1]"
3-11,"[0,3,7]","[0,0,1,1,1,0]"
3-12,"[0,4,8]","[0,0,0,3,0,0]"
4-1,"[0,1,2,3]","[3,2,1,0,0,0]"
4-2,"[0,1,2,4]","[2,2,1,1,0,0]"
4-3,"[0,1,2,5]","[2,1,1,1,1,0]"
4-4,"[0,1,2,6]","[2,1,0,1,1,1]"
4-5,"[0,1,2,7]","[2,1,0,0,2,1]"
4-6,"[0,1,3,4]","[2,1,2,1,0,0]"
4-7,"[0,1,3,5]","[1,2,1,1,1,0]"
4-8,"[0,1,3,6]","[1,1,2,0,1,1]"
4-9Z,"[0,1,3,7]","[1,1,1,1,1,1]"
4-10,"[0,1,4,5]","[2,0,1,2,1,0]"
4-11Z,"[0,1,4,6]","[1,1,1,1,1,1]"
4-12,"[0,1,4,7]","[1,0,2,1,1,1]"
4-13,"[0,1,4,8]","[1,0,1,3,1,0]"
4-14,"[0,1,5,6]","[2,0,0,1,2,1]"
4-15,"[0,1,5,7]","[1,1,0,1,2,1]"
4-16,"[0,1,5,8]","[1,0,1,2,2,0]"
