class,pcs,interval
3-1Z,"[0,1,2]","[2,1,0,0,0,0]"
3-2Z,"[0,1,3]","[1,1,1,0,0,0]"
3-3Z,"[0,1,4]","[1,0,1,1,0,0]"
3-4Z,"[0,1,5]","[1,0,0,1,1,0]"
3-5Z,"[0,1,6]","[1,0,0,0,1,1]"
3-6Z,"[0,2,3]","[1,1,1,0,0,0]"
3-7Z,"[0,2,4]","[0,2,0,1,0,0]"
3-8Z,"[0,2,5]","[0,1,1,0,1,0]"
3-9Z,"[0,2,6]","[0,1,0,1,0,1]"
3-10Z,"[0,2,7]","[0,1,0,0,2,0]"
3-11Z,"[0,3,4]","[1,0,1,1,0,0]"
3-12Z,"[0,3,5]","[0,1,1,0,1,0]"
3-13Z,"[0,3,6]","[0,0,2,0,0,1]"
3-14Z,"[0,3,7]","[0,0,1,1,1,0]"
3-15Z,"[0,4,5]","[1,0,0,1,1,0]"
3-16Z,"[0,4,6]","[0,1,0,1,0,1]"
3-17Z,"[0,4,7]","[0,0,1,1,1,0]"
3-18Z,"[0,4,8]","[0,0,0,3,0,0]"
3-19Z,"[0,5,6]","[1,0,0,0,1,1]"
3-20Z,"[1,2,3]","[2,1,0,0,0,0]"
3-21Z,"[1,2,4]","[1,1,1,0,0,0]"
3-22Z,"[1,2,5]","[1,0,1,1,0,0]"
3-23Z,"[1,2,6]","[1,0,0,1,1,0]"
3-24Z,"[1,2,7]","[1,0,0,0,1,1]"
3-25Z,"[1,3,4]","[1,1,1,0,0,0]"
3-26Z,"[1,3,5]","[0,2,0,1,0,0]"
3-27Z,"[1,3,6]","[0,1,1,0,1,0]"
3-28Z,"[1,3,7]","[0,1,0,1,0,1]"
3-29Z,"[1,3,8]","[0,1,0,0,2,0]"
3-30Z,"[1,4,5]","[1,0,1,1,0,0]"
3-31Z,"[1,4,6]","[0,1,1,0,1,0]"
3-32Z,"[1,4,7]","[0,0,2,0,0,1]"
3-33Z,"[1,4,8]","[0,0,1,1,1,0]"
3-34Z,"[1,5,6]","[1,0,0,1,1,0]"
3-35Z,"[1,5,7]","[0,1,0,1,0,1]"
3-36Z,"[1,5,8]","[0,0,1,1,1,0]"
3-37Z,"[1,5,9]","[0,0,0,3,0,0]"
3-38Z,"[1,6,7]","[1,0,0,0,1,1]"
3-39Z,"[2,3,4]","[2,1,0,0,0,0]"
3-40Z,"[2,3,5]","[1,1,1,0,0,0]"
3-41Z,"[2,3,6]","[1,0,1,1,0,0]"
3-42Z,"[2,3,7]","[1,0,0,1,1,0]"
3-43Z,"[2,3,8]","[1,0,0,0,1,1]"
3-44Z,"[2,4,5]","[1,1,1,0,0,0]"
3-45Z,"[2,4,6]","[0,2,0,1,0,0]"
3-46Z,"[2,4,7]","[0,1,1,0,1,0]"
3-47Z,"[2,4,8]","[0,1,0,1,0,1]"
3-48Z,"[2,4,9]","[0,1,0,0,2,0]"
3-49Z,"[2,5,6]","[1,0,1,1,0,0]"
3-50Z,"[2,5,7]","[0,1,1,0,1,0]"
3-51Z,"[2,5,8]","[0,0,2,0,0,1]"
3-52Z,"[2,5,9]","[0,0,1,1,1,0]"
3-53Z,"[2,6,7]","[1,0,0,1,1,0]"
3-54Z,"[2,6,8]","[0,1,0,1,0,1]"
3-55Z,"[2,6,9]","[0,0,1,1,1,0]"
3-56Z,"[2,6,10]","[0,0,0,3,0,0]"
3-57Z,"[2,7,8]","[1,0,0,0,1,1]"
3-58Z,"[3,4,5]","[2,1,0,0,0,0]"
3-59Z,"[3,4,6]","[1,1,1,0,0,0]"
3-60Z,"[3,4,7]","[1,0,1,1,0,0]"
3-61Z,"[3,4,8]","[1,0,0,1,1,0]"
3-62Z,"[3,4,9]","[1,0,0,0,1,1]"
3-63Z,"[3,5,6]","[1,1,1,0,0,0]"
3-64Z,"[3,5,7]","[0,2,0,1,0,0]"
3-65Z,"[3,5,8]","[0,1,1,0,1,0]"
3-66Z,"[3,5,9]","[0,1,0,1,0,1]"
3-67Z,"[3,5,10]","[0,1,0,0,2,0]"
3-68Z,"[3,6,7]","[1,0,1,1,0,0]"
3-69Z,"[3,6,8]","[0,1,1,0,1,0]"
3-70Z,"[3,6,9]","[0,0,2,0,0,1]"
3-71Z,"[3,6,10]","[0,0,1,1,1,0]"
3-72Z,"[3,7,8]","[1,0,0,1,1,0]"
3-73Z,"[3,7,9]","[0,1,0,1,0,1]"
3-74Z,"[3,7,10]","[0,0,1,1,1,0]"
3-75Z,"[3,7,11]","[0,0,0,3,0,0]"
3-76Z,"[3,8,9]","[1,0,0,0,1,1]"
3-77Z,"[4,5,6]","[2,1,0,0,0,0]"
3-78Z,"[4,5,7]","[1,1,1,0,0,0]"
3-79Z,"[4,5,8]","[1,0,1,1,0,0]"
3-80Z,"[4,5,9]","[1,0,0,1,1,0]"
3-81Z,"[4,5,10]","[1,0,0,0,1,1]"
3-82Z,"[4,6,7]","[1,1,1,0,0,0]"
3-83Z,"[4,6,8]","[0,2,0,1,0,0]"
3-84Z,"[4,6,9]","[0,1,1,0,1,0]"
3-85Z,"[4,6,10]","[0,1,0,1,0,1]"
3-86Z,"[4,6,11]","[0,1,0,0,2,0]"
3-87Z,"[4,7,8]","[1,0,1,1,0,0]"
3-88Z,"[4,7,9]","[0,1,1,0,1,0]"
3-89Z,"[4,7,10]","[0,0,2,0,0,1]"
3-90Z,"[4,7,11]","[0,0,1,1,1,0]"
3-91Z,"[4,8,9]","[1,0,0,1,1,0]"
3-92Z,"[4,8,10]","[0,1,0,1,0,1]"
3-93Z,"[4,8,11]","[0,0,1,1,1,0]"
3-94Z,"[4,9,10]","[1,0,0,0,1,1]"
3-95Z,"[5,6,7]","[2,1,0,0,0,0]"
3-96Z,"[5,6,8]","[1,1,1,0,0,0]"
3-97Z,"[5,6,9]","[1,0,1,1,0,0]"
3-98Z,"[5,6,10]","[1,0,0,1,1,0]"
3-99Z,"[5,6,11]","[1,0,0,0,1,1]"
3-100Z,"[5,7,0]","[0,1,0,0,2,0]"
3-101Z,"[5,7,8]","[1,1,1,0,0,0]"
3-102Z,"[5,7,9]","[0,2,0,1,0,0]"
3-103Z,"[5,7,10]","[0,1,1,0,1,0]"
3-104Z,"[5,7,11]","[0,1,0,1,0,1]"
3-105Z,"[5,8,0]","[0,0,1,1,1,0]"
3-106Z,"[5,8,9]","[1,0,1,1,0,0]"
3-107Z,"[5,8,10]","[0,1,1,0,1,0]"
3-108Z,"[5,8,11]","[0,0,2,0,0,1]"
3-109Z,"[5,9,0]","[0,0,1,1,1,0]"
3-110Z,"[5,9,10]","[1,0,0,1,1,0]"
3-111Z,"[5,9,11]","[0,1,0,1,0,1]"
3-112Z,"[5,10,11]","[1,0,0,0,1,1]"
3-113Z,"[6,7,0]","[1,0,0,0,1,1]"
3-114Z,"[6,7,8]","[2,1,0,0,0,0]"
3-115Z,"[6,7,9]","[1,1,1,0,0,0]"
3-116Z,"[6,7,10]","[1,0,1,1,0,0]"
3-117Z,"[6,7,11]","[1,0,0,1,1,0]"
3-118Z,"[6,8,0]","[0,1,0,1,0,1]"
3-119Z,"[6,8,1]","[0,1,0,0,2,0]"
3-120Z,"[6,8,9]","[1,1,1,0,0,0]"
3-121Z,"[6,8,10]","[0,2,0,1,0,0]"
3-122Z,"[6,8,11]","[0,1,1,0,1,0]"
3-123Z,"[6,9,0]","[0,0,2,0,0,1]"
3-124Z,"[6,9,1]","[0,0,1,1,1,0]"
3-125Z,"[6,9,10]","[1,0,1,1,0,0]"
3-126Z,"[6,9,11]","[0,1,1,0,1,0]"
3-127Z,"[6,10,0]","[0,1,0,1,0,1]"
3-128Z,"[6,10,1]","[0,0,1,1,1,0]"
3-129Z,"[6,10,11]","[1,0,0,1,1,0]"
3-130Z,"[6,11,0]","[1,0,0,0,1,1]"
3-131Z,"[7,0,1]","[1,0,0,0,1,1]"
3-132Z,"[7,8,0]","[1,0,0,1,1,0]"
3-133Z,"[7,8,1]","[1,0,0,0,1,1]"
3-134Z,"[7,8,9]","[2,1,0,0,0,0]"
3-135Z,"[7,8,10]","[1,1,1,0,0,0]"
3-136Z,"[7,8,11]","[1,0,1,1,0,0]"
3-137Z,"[7,9,0]","[0,1,1,0,1,0]"
3-138Z,"[7,9,1]","[0,1,0,1,0,1]"
3-139Z,"[7,9,2]","[0,1,0,0,2,0]"
3-140Z,"[7,9,10]","[1,1,1,0,0,0]"
3-141Z,"[7,9,11]","[0,2,0,1,0,0]"
3-142Z,"[7,10,0]","[0,1,1,0,1,0]"
3-143Z,"[7,10,1]","[0,0,2,0,0,1]"
3-144Z,"[7,10,2]","[0,0,1,1,1,0]"
3-145Z,"[7,10,11]","[1,0,1,1,0,0]"
3-146Z,"[7,11,0]","[1,0,0,1,1,0]"
3-147Z,"[7,11,1]","[0,1,0,1,0,1]"
3-148Z,"[7,11,2]","[0,0,1,1,1,0]"
3-149Z,"[8,0,1]","[1,0,0,1,1,0]"
3-150Z,"[8,0,2]","[0,1,0,1,0,1]"
3-151Z,"[8,0,3]","[0,0,1,1,1,0]"
3-152Z,"[8,1,2]","[1,0,0,0,1,1]"
3-153Z,"[8,9,0]","[1,0,1,1,0,0]"
3-154Z,"[8,9,1]","[1,0,0,1,1,0]"
3-155Z,"[8,9,2]","[1,0,0,0,1,1]"
3-156Z,"[8,9,10]","[2,1,0,0,0,0]"
3-157Z,"[8,9,11]","[1,1,1,0,0,0]"
3-158Z,"[8,10,0]","[0,2,0,1,0,0]"
3-159Z,"[8,10,1]","[0,1,1,0,1,0]"
3-160Z,"[8,10,2]","[0,1,0,1,0,1]"
3-161Z,"[8,10,3]","[0,1,0,0,2,0]"
3-162Z,"[8,10,11]","[1,1,1,0,0,0]"
3-163Z,"[8,11,0]","[1,0,1,1,0,0]"
3-164Z,"[8,11,1]","[0,1,1,0,1,0]"
3-165Z,"[8,11,2]","[0,0,2,0,0,1]"
