class,pcs,interval
3-166Z,"[8,11,3]","[0,0,1,1,1,0]"
3-167Z,"[9,0,1]","[1,0,1,1,0,0]"
3-168Z,"[9,0,2]","[0,1,1,0,1,0]"
3-169Z,"[9,0,3]","[0,0,2,0,0,1]"
3-170Z,"[9,0,4]","[0,0,1,1,1,0]"
3-171Z,"[9,1,2]","[1,0,0,1,1,0]"
3-172Z,"[9,1,3]","[0,1,0,1,0,1]"
3-173Z,"[9,1,4]","[0,0,1,1,1,0]"
3-174Z,"[9,2,3]","[1,0,0,0,1,1]"
3-175Z,"[9,10,0]","[1,1,1,0,0,0]"
3-176Z,"[9,10,1]","[1,0,1,1,0,0]"
3-177Z,"[9,10,2]","[1,0,0,1,1,0]"
3-178Z,"[9,10,3]","[1,0,0,0,1,1]"
3-179Z,"[9,10,11]","[2,1,0,0,0,0]"
3-180Z,"[9,11,0]","[1,1,1,0,0,0]"
3-181Z,"[9,11,1]","[0,2,0,1,0,0]"
3-182Z,"[9,11,2]","[0,1,1,0,1,0]"
3-183Z,"[9,11,3]","[0,1,0,1,0,1]"
3-184Z,"[9,11,4]","[0,1,0,0,2,0]"
3-185Z,"[10,0,1]","[1,1,1,0,0,0]"
3-186Z,"[10,0,2]","[0,2,0,1,0,0]"
3-187Z,"[10,0,3]","[0,1,1,0,1,0]"
3-188Z,"[10,0,4]","[0,1,0,1,0,1]"
3-189Z,"[10,0,5]","[0,1,0,0,2,0]"
3-190Z,"[10,1,2]","[1,0,1,1,0,0]"
3-191Z,"[10,1,3]","[0,1,1,0,1,0]"
3-192Z,"[10,1,4]","[0,0,2,0,0,1]"
3-193Z,"[10,1,5]","[0,0,1,1,1,0]"
3-194Z,"[10,2,3]","[1,0,0,1,1,0]"
3-195Z,"[10,2,4]","[0,1,0,1,0,1]"
3-196Z,"[10,2,5]","[0,0,1,1,1,0]"
3-197Z,"[10,3,4]","[1,0,0,0,1,1]"
3-198Z,"[10,11,0]","[2,1,0,0,0,0]"
3-199Z,"[10,11,1]","[1,1,1,0,0,0]"
3-200Z,"[10,11,2]","[1,0,1,1,0,0]"
3-201Z,"[10,11,3]","[1,0,0,1,1,0]"
3-202Z,"[10,11,4]","[1,0,0,0,1,1]"
3-203Z,"[11,0,1]","[2,1,0,0,0,0]"
3-204Z,"[11,0,2]","[1,1,1,0,0,0]"
3-205Z,"[11,0,3]","[1,0,1,1,0,0]"
3-206Z,"[11,0,4]","[1,0,0,1,1,0]"
3-207Z,"[11,0,5]","[1,0,0,0,1,1]"
3-208Z,"[11,1,2]","[1,1,1,0,0,0]"
3-209Z,"[11,1,3]","[0,2,0,1,0,0]"
3-210Z,"[11,1,4]","[0,1,1,0,1,0]"
3-211Z,"[11,1,5]","[0,1,0,1,0,1]"
3-212Z,"[11,1,6]","[0,1,0,0,2,0]"
3-213Z,"[11,2,3]","[1,0,1,1,0,0]"
3-214Z,"[11,2,4]","[0,1,1,0,1,0]"
3-215Z,"[11,2,5]","[0,0,2,0,0,1]"
3-216Z,"[11,2,6]","[0,0,1,1,1,0]"
3-217Z,"[11,3,4]","[1,0,0,1,1,0]"
3-218Z,"[11,3,5]","[0,1,0,1,0,1]"
3-219Z,"[11,3,6]","[0,0,1,1,1,0]"
3-220Z,"[11,4,5]","[1,0,0,0,1,1]"
