Source,Target,Distance
0,1,1.41421356
0,2,2.00000000
0,3,2.00000000
0,4,2.00000000
0,12,1.73205081
0,13,1.73205081
0,14,1.73205081
0,15,1.73205081
1,2,1.41421356
1,3,2.00000000
1,4,2.00000000
1,5,2.00000000
1,6,1.41421356
1,7,2.00000000
1,9,2.00000000
1,10,2.00000000
1,13,1.73205081
1,14,1.73205081
1,17,1.73205081
1,18,1.73205081
1,19,1.73205081
1,20,1.73205081
1,22,1.73205081
1,29,1.73205081
1,30,1.73205081
2,3,1.41421356
2,4,2.00000000
2,6,2.00000000
2,7,2.00000000
2,9,2.00000000
2,10,1.41421356
2,14,1.73205081
2,17,1.73205081
2,20,1.73205081
2,21,1.73205081
2,22,1.73205081
2,23,1.73205081
2,30,1.73205081
2,38,1.73205081
3,4,1.41421356
3,6,2.00000000
3,7,2.00000000
3,8,2.00000000
3,10,1.41421356
3,14,1.73205081
3,15,1.73205081
3,20,1.73205081
3,21,1.73205081
3,22,1.73205081
3,25,1.73205081
3,26,1.73205081
3,27,1.73205081
3,31,1.73205081
4,6,2.00000000
4,7,2.00000000
4,8,2.00000000
4,10,2.00000000
4,15,1.73205081
4,16,1.73205081
4,20,1.73205081
4,22,1.73205081
4,25,1.73205081
4,26,1.73205081
4,28,1.73205081
5,6,2.00000000
5,7,1.41421356
5,18,1.73205081
5,32,1.73205081
6,7,2.00000000
6,8,1.41421356
6,9,2.00000000
6,10,1.41421356
6,18,1.73205081
6,19,1.73205081
6,20,1.73205081
6,22,1.73205081
6,29,1.73205081
6,31,1.73205081
6,33,1.73205081
6,36,1.73205081
6,39,1.73205081
7,10,2.00000000
7,20,1.73205081
7,22,1.73205081
7,37,1.73205081
7,41,1.73205081
8,10,2.00000000
8,26,1.73205081
8,31,1.73205081
8,33,1.73205081
8,35,1.73205081
9,10,2.00000000
9,19,1.73205081
9,23,1.73205081
9,30,1.73205081
9,36,1.73205081
10,20,1.73205081
10,22,1.73205081
10,23,1.73205081
10,27,1.73205081
10,31,1.73205081
10,36,1.73205081
10,38,1.73205081
10,39,1.73205081
11,24,1.73205081
12,13,1.41421356
12,14,2.00000000
12,17,2.00000000
13,14,1.41421356
13,15,2.00000000
13,17,1.41421356
13,18,1.41421356
13,20,2.00000000
13,22,2.00000000
13,29,2.00000000
13,30,2.00000000
14,15,1.41421356
14,16,2.00000000
14,17,1.41421356
14,18,1.41421356
14,19,2.00000000
14,20,1.41421356
14,21,1.41421356
14,22,1.41421356
14,23,2.00000000
14,25,2.00000000
14,26,2.00000000
14,27,2.00000000
14,29,2.00000000
14,30,2.00000000
14,31,1.41421356
14,38,2.00000000
15,16,1.41421356
15,18,2.00000000
15,20,1.41421356
15,21,2.00000000
15,22,1.41421356
15,25,1.41421356
15,26,1.41421356
15,28,2.00000000
15,31,2.00000000
16,20,2.00000000
16,22,2.00000000
16,25,1.41421356
16,26,1.41421356
16,28,1.41421356
16,31,2.00000000
17,18,2.00000000
17,19,2.00000000
17,20,2.00000000
17,21,2.00000000
17,22,2.00000000
17,23,2.00000000
17,29,2.00000000
17,30,1.41421356
17,38,2.00000000
18,19,2.00000000
18,20,1.41421356
18,22,1.41421356
18,26,2.00000000
18,29,1.41421356
18,30,2.00000000
18,31,1.41421356
18,33,1.41421356
18,36,2.00000000
18,39,2.00000000
19,20,1.41421356
19,22,1.41421356
19,23,1.41421356
19,29,1.41421356
19,30,1.41421356
19,31,2.00000000
19,36,1.41421356
19,39,2.00000000
20,21,2.00000000
20,23,1.41421356
20,25,2.00000000
20,26,1.41421356
20,27,2.00000000
20,29,2.00000000
20,30,1.41421356
20,31,1.41421356
20,33,2.00000000
20,36,1.41421356
20,38,2.00000000
20,39,2.00000000
21,22,2.00000000
21,23,2.00000000
21,24,1.41421356
21,25,2.00000000
21,27,1.41421356
21,31,2.00000000
21,38,1.41421356
22,23,1.41421356
22,25,2.00000000
22,26,1.41421356
22,27,2.00000000
22,29,2.00000000
22,30,1.41421356
22,31,1.41421356
22,33,2.00000000
22,36,1.41421356
22,38,2.00000000
22,39,2.00000000
23,27,2.00000000
23,30,1.41421356
23,31,2.00000000
23,36,1.41421356
23,38,1.41421356
23,39,2.00000000
24,27,1.41421356
24,38,1.41421356
25,26,1.41421356
25,27,2.00000000
25,28,1.41421356
25,31,2.00000000
26,27,2.00000000
26,28,2.00000000
26,31,1.41421356
26,33,2.00000000
27,31,1.41421356
27,38,1.41421356
27,39,2.00000000
29,30,2.00000000
29,31,2.00000000
29,33,2.00000000
29,36,2.00000000
29,39,2.00000000
30,36,1.41421356
30,38,2.00000000
31,33,1.41421356
31,35,2.00000000
31,36,2.00000000
31,38,2.00000000
31,39,1.41421356
32,34,1.41421356
32,37,1.41421356
32,41,1.41421356
33,35,1.41421356
33,36,2.00000000
33,39,1.41421356
34,37,1.41421356
34,41,1.41421356
35,39,2.00000000
36,38,2.00000000
36,39,1.41421356
38,39,2.00000000
